ts,x,y,yaw,t
1772875673.0245373,1.702,2.124,1.441,37.500593423843384
1772875673.124357,1.711,2.128,1.434,37.60041308403015
1772875673.2243476,1.719,2.131,1.436,37.700403690338135
1772875673.3240635,1.729,2.132,1.431,37.80011963844299
1772875673.4243145,1.739,2.13,1.42,37.900370597839355
1772875673.5245814,1.749,2.125,1.403,38.00063753128052
1772875673.6240904,1.759,2.123,1.387,38.100146532058716
1772875673.724104,1.766,2.122,1.385,38.20016002655029
1772875673.8242228,1.775,2.122,1.382,38.30027890205383
1772875673.9237978,1.783,2.123,1.384,38.39985394477844
1772875674.0242965,1.79,2.122,1.389,38.50035262107849
1772875674.1247213,1.801,2.124,1.379,38.60077738761902
1772875674.2244937,1.81,2.118,1.366,38.700549840927124
1772875674.324201,1.818,2.119,1.37,38.800257205963135
1772875674.4247482,1.823,2.12,1.388,38.90080428123474
1772875674.5239813,1.832,2.123,1.392,39.00003743171692
1772875674.6240509,1.839,2.124,1.394,39.100106954574585
1772875674.7239757,1.844,2.119,1.383,39.200031757354736
1772875674.8242888,1.86,2.116,1.358,39.300344944000244
1772875674.9249833,1.867,2.117,1.369,39.401039361953735
1772875675.0242193,1.872,2.116,1.383,39.50027537345886
1772875675.1238537,1.881,2.116,1.385,39.59990978240967
1772875675.2265892,1.887,2.114,1.364,39.70264530181885
1772875675.3238258,1.892,2.112,1.34,39.79988193511963
1772875675.4248428,1.903,2.11,1.309,39.900898933410645
1772875675.5241497,1.913,2.109,1.302,40.000205755233765
1772875675.6238704,1.922,2.109,1.284,40.099926471710205
1772875675.7247863,1.93,2.109,1.26,40.20084238052368
1772875675.8238537,1.941,2.108,1.224,40.299909830093384
1772875675.9237943,1.949,2.105,1.183,40.399850368499756
1772875676.024,1.956,2.104,1.16,40.50005602836609
1772875676.1240478,1.966,2.099,1.11,40.60010385513306
1772875676.224655,1.973,2.097,1.075,40.7007110118866
1772875676.3241224,1.987,2.09,1.027,40.80017852783203
1772875676.4239979,1.996,2.083,0.989,40.90005397796631
1772875676.525066,2.006,2.074,0.943,41.00112199783325
1772875676.624417,2.012,2.067,0.902,41.100473165512085
1772875676.724443,2.023,2.056,0.849,41.200499057769775
1772875676.8241785,2.034,2.043,0.808,41.30023455619812
1772875676.9239388,2.04,2.023,0.758,41.39999485015869
1772875677.0238254,2.048,2.007,0.714,41.49988150596619
1772875677.1251566,2.054,1.99,0.667,41.60121273994446
1772875677.224131,2.062,1.974,0.624,41.70018720626831
1772875677.3243213,2.068,1.955,0.584,41.800377368927
1772875677.424108,2.072,1.938,0.565,41.90016412734985
1772875677.5242805,2.076,1.925,0.534,42.00033664703369
1772875677.623876,2.081,1.91,0.487,42.0999321937561
1772875677.7238843,2.085,1.896,0.461,42.19994044303894
1772875677.82385,2.089,1.88,0.44,42.29990601539612
1772875677.9246507,2.091,1.865,0.424,42.40070676803589
1772875678.0240474,2.096,1.852,0.402,42.50010347366333
1772875678.123871,2.098,1.836,0.385,42.59992718696594
1772875678.2243223,2.101,1.82,0.373,42.70037841796875
1772875678.324349,2.101,1.803,0.36,42.80040502548218
1772875678.4242592,2.105,1.785,0.345,42.900315284729004
1772875678.5265949,2.106,1.769,0.334,43.00265097618103
1772875678.6240833,2.107,1.753,0.322,43.10013937950134
1772875678.7240758,2.11,1.737,0.316,43.20013189315796
1772875678.8245885,2.11,1.719,0.309,43.300644636154175
1772875678.9238446,2.107,1.7,0.298,43.399900674819946
1772875679.0246022,2.106,1.682,0.29,43.5006582736969
1772875679.12457,2.106,1.663,0.277,43.60062599182129
1772875679.2240295,2.104,1.642,0.265,43.70008563995361
1772875679.3240588,2.103,1.623,0.252,43.80011487007141
1772875679.4248548,2.101,1.608,0.249,43.9009108543396
1772875679.5244517,2.097,1.592,0.244,44.000507831573486
1772875679.6244032,2.095,1.575,0.237,44.1004593372345
1772875679.7247317,2.093,1.557,0.239,44.20078778266907
1772875679.8241596,2.09,1.539,0.241,44.30021572113037
1772875679.9239488,2.086,1.517,0.246,44.400004863739014
1772875680.02397,2.082,1.496,0.252,44.50002598762512
1772875680.1241095,2.078,1.477,0.26,44.600165605545044
1772875680.2242184,2.077,1.458,0.261,44.70027446746826
1772875680.3240013,2.077,1.44,0.258,44.80005741119385
1772875680.4241242,2.078,1.421,0.256,44.90018033981323
1772875680.5241249,2.079,1.408,0.253,45.00018095970154
1772875680.6241057,2.078,1.388,0.251,45.10016179084778
1772875680.7244508,2.074,1.368,0.251,45.200506925582886
1772875680.824115,2.071,1.347,0.248,45.30017113685608
1772875680.9243252,2.067,1.324,0.249,45.400381326675415
1772875681.0238702,2.066,1.304,0.248,45.49992632865906
1772875681.1241243,2.061,1.283,0.246,45.60018038749695
1772875681.2241626,2.056,1.259,0.245,45.70021867752075
1772875681.3250482,2.053,1.236,0.244,45.80110430717468
1772875681.4253337,2.054,1.216,0.243,45.901389837265015
1772875681.524025,2.056,1.195,0.242,46.000081062316895
1772875681.6247406,2.054,1.181,0.254,46.100796699523926
1772875681.7241168,2.05,1.162,0.259,46.200172901153564
1772875681.824195,2.053,1.138,0.26,46.30025100708008
1772875681.9242206,2.051,1.115,0.277,46.40027666091919
1772875682.0241148,2.047,1.089,0.295,46.500170946121216
1772875682.1244614,2.043,1.071,0.308,46.6005175113678
1772875682.2239192,2.04,1.053,0.291,46.69997525215149
1772875682.3240068,2.043,1.028,0.238,46.80006289482117
1772875682.4239361,2.048,1.022,0.203,46.89999222755432
1772875682.5240414,2.045,1.002,0.16,47.00009751319885
1772875682.624321,2.036,0.979,0.115,47.10037708282471
1772875682.7241204,2.033,0.965,0.081,47.20017647743225
1772875682.824255,2.029,0.949,0.045,47.30031108856201
1772875682.924102,2.027,0.935,0.008,47.400158166885376
1772875683.0240068,2.021,0.919,-0.049,47.50006294250488
