ts,can_id,goal,speedmode,t
1772875683.5883372,4,-9.615682544197373,True,5.601215124130249
1772875683.6832707,1,-2.6062992125984255,True,5.696148633956909
1772875683.6849513,2,-4.403084119000523,True,5.697829246520996
1772875683.6870184,3,2.6062992125984255,True,5.699896335601807
1772875683.6885138,4,-9.615682544197373,True,5.701391696929932
1772875683.7834358,1,-2.6062992125984255,True,5.796313762664795
1772875683.7851257,2,-4.403084119000523,True,5.798003673553467
1772875683.7871563,3,2.6062992125984255,True,5.800034284591675
1772875683.7886956,4,-9.615682544197373,True,5.8015735149383545
1772875683.8832176,1,-2.6062992125984255,True,5.896095514297485
1772875683.88494,2,-4.403084119000523,True,5.897817850112915
1772875683.8866687,3,2.6062992125984255,True,5.8995466232299805
1772875683.8882864,4,-9.615682544197373,True,5.901164293289185
1772876895.7935576,2,-0.29708577195389996,True,1217.806435585022
1772876895.79598,3,-0.29542937711237016,True,1217.8088579177856
1772876895.798044,4,-4.88392391407038,True,1217.810921907425
1772876895.8916738,1,-4.99414895341374,True,1217.904551744461
1772876895.8936942,2,-0.18533218139977237,True,1217.9065721035004
1772876895.8960485,3,-0.19897951137885306,True,1217.908926486969
1772876895.8978148,4,-4.98050162343466,True,1217.910692691803
1772876895.9916174,1,-5.090094686579765,True,1218.004495382309
1772876895.9938202,2,-0.0707479978565484,True,1218.0066981315613
1772876895.9954972,3,-0.08608882715955435,True,1218.0083751678467
1772876895.9969876,4,-5.074753857276759,True,1218.0098655223846
1772876896.0918653,1,-5.187863229727591,True,1218.1047432422638
1772876896.0940406,2,0.026998502368472455,True,1218.1069185733795
1772876896.0957592,3,0.024201996691354033,True,1218.1086370944977
1772876896.0976353,4,-5.185066724050472,True,1218.1105132102966
1772876896.191773,1,-5.187551446337262,True,1218.2046508789062
1772876896.1940122,2,0.026686221646096353,True,1218.2068901062012
1772876896.1955845,3,0.02504697885958862,True,1218.2084624767303
1772876896.197147,4,-5.185912203550755,True,1218.2100248336792
1772876896.2917757,1,-5.190143538111832,True,1218.3046536445618
1772876896.2935646,2,0.029282569504337275,True,1218.3064424991608
1772876896.2952242,3,0.022454887085018527,True,1218.30810213089
1772876896.296853,4,-5.183315855692514,True,1218.3097310066223
1772876896.391957,1,-5.187111733649475,True,1218.404834985733
1772876896.3936608,2,0.0262463045250505,True,1218.4065387248993
1772876896.3955922,3,0.025486691547375262,True,1218.4084701538086
1772876896.3974576,4,-5.186352120671801,True,1218.4103355407715
1772876896.4917483,1,-5.190472411647397,True,1218.504626274109
1772876896.4934156,2,0.029129115628890645,True,1218.5062935352325
1772876896.4953876,3,0.022126013549454537,True,1218.5082654953003
1772876896.4972022,4,-5.18346930956796,True,1218.5100800991058
1772876896.5918949,1,-5.18706583198918,True,1218.6047728061676
1772876896.593734,2,0.025575056644590255,True,1218.6066119670868
1772876896.5966294,3,0.02553259320767065,True,1218.6095073223114
1772876896.5985801,4,-5.187023368552261,True,1218.6114580631256
1772876896.691517,1,-5.188398827013436,True,1218.7043950557709
1772876896.6930223,2,0.026908762487571458,True,1218.7059001922607
1772876896.6947305,3,0.024199598183415105,True,1218.70760846138
1772876896.6970713,4,-5.1856896627092794,True,1218.7099492549896
1772876896.7915154,1,-5.082620621060453,True,1218.8043932914734
1772876896.7930422,2,-0.07911422365454479,True,1218.805920124054
1772876896.7950575,3,-0.07846227020070007,True,1218.807935476303
1772876896.7968116,4,-5.083272574514298,True,1218.8096895217896
1772876896.8914626,1,-4.972157409631811,True,1218.9043405056
1772876896.893327,2,-0.18916167512347304,True,1218.9062049388885
1772876896.895563,3,-0.17679830199104352,True,1218.9084408283234
1772876896.8973947,4,-4.984520782764241,True,1218.9102725982666
1772876896.991847,1,-4.8689990895229265,True,1219.0047249794006
1772876896.9937694,2,-0.2923246657874823,True,1219.006647348404
1772876896.9960907,3,-0.2820952707518285,True,1219.00896859169
1772876896.998287,4,-4.879228484558581,True,1219.0111649036407
1772876897.0917056,1,-4.979856647970143,True,1219.1045835018158
1772876897.093453,2,-0.18158902901957807,True,1219.106330871582
1772876897.0951283,3,-0.184590287051154,True,1219.1080062389374
1772876897.0967243,4,-4.976855389938567,True,1219.1096022129059
1772876897.1919422,1,-5.090791126254058,True,1219.2048201560974
1772876897.193957,2,-0.07062999394622871,True,1219.2068350315094
1772876897.1957543,3,-0.08683196963079087,True,1219.2086322307587
1772876897.197356,4,-5.074589150569496,True,1219.210233926773
1772876897.2920232,1,-5.191141178766705,True,1219.3049011230469
1772876897.2939208,2,0.029701757101832094,True,1219.306798696518
1772876897.2956877,3,0.021123846549437886,True,1219.3085656166077
1772876897.2975662,4,-5.182563268214311,True,1219.3104441165924
1772876897.3917356,1,-5.188701066725937,True,1219.404613494873
1772876897.3933637,2,0.027507086245611934,True,1219.4062416553497
1772876897.3950982,3,0.02389735847091412,True,1219.4079761505127
1772876897.3967416,4,-5.1850913389512385,True,1219.4096195697784
1772876897.4916432,1,-5.1934899412452395,True,1219.5045211315155
1772876897.4933276,2,0.03231158622093311,True,1219.5062055587769
1772876897.4951158,3,0.01910848395161091,True,1219.5079936981201
1772876897.496611,4,-5.180286838975918,True,1219.5094890594482
1772876897.5917451,1,-5.1899984672312645,True,1219.6046230793
